Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,School
USA,OR,2015,12,Female,17,Right-Handed,64,23.5,167,1,Car,12,0.672,37,Other,900,800,800,850,950,950,24,Left foot,87,80,Index finger,June,Spring,No,No,Pizza/Pasta,Water,Computers and technology,8,9,5,Yes - broadband connection,Text messaging,50,60,6,1,8,6,2,1,15,10,20,6,0,3,Some,Graduate degree,Rock and roll,Invisibility,Rich,Relative,International aid,high
USA,OR,2019,10,Male,17,Right-Handed,180,26,177,2,Car,16,0.654,49,Baseball/Softball,600,400,200,600,700,1000,27,Left foot,24,28,Ring finger,May,Spring,Yes,No,Meat,Milk,Mathematics and statistics,7,9,3,Yes - broadband connection,Text messaging,30,40,5,5,5,6,5,4,7,7,3,5,3,3,A lot,Undergraduate degree,Rap/Hip hop,Freeze time,Rich,Business person,Religious,high
USA,OR,2015,12,Male,17,Right-Handed,172,24,173,1,Car,6,0.391,45,Football (American),900,1000,900,500,1000,1000,24,Same length,90,80,Index finger,January,Summer,Yes,No,Seafood,Water,Physical education,8,9,7,Yes - other,Text messaging,100,100,8,1,2,5,20,5,1,3,2,5,0,3,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,"Wildlife, animals",high
USA,OR,2015,12,Male,17,Right-Handed,172,24,173,1,Car,6,0.391,45,Football (American),900,1000,900,500,1000,1000,24,Same length,90,80,Index finger,January,Summer,Yes,No,Seafood,Water,Physical education,8,9,7,Yes - other,Text messaging,100,100,8,1,2,5,20,5,1,3,2,5,0,3,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,"Wildlife, animals",high
USA,OR,2018,9,Male,15,Right-Handed,167.6,27,174,1,Walk,3,0.41,47,Football (American),500,600,800,500,900,1000,28,Left foot,80,80,Same length,February,Spring,Yes,No,Poultry,Water,Art,7,8,2,Yes - broadband connection,In person,7,8,100,1,7,0,17,15,3,0,20,3,0,3,A lot,Graduate degree,Country,Fly,Rich,Religious figure,Religious,high
USA,OR,2014,12,Female,17,Right-Handed,160,34,164,1,Car,12,0.424,31,Baseball/Softball,200,700,300,300,600,800,34,Same length,90.3,95,Ring finger,June,Summer,No,No,Pizza/Pasta,Sports drink,Languages,7,10,4,Yes - other,Text messaging,115,110,12,1,3,4,3,0,5,5,5,3,0,3,Some,Graduate degree,Other,Fly,Rich,Friend,Health,high
USA,OR,2017,12,Female,16,Right-Handed,168,23.5,57.25,1,Car,15,0.431,35,Soccer,679,519,455,348,16,80,23.5,Same length,70,,,November,Fall,Yes,No,Pizza/Pasta,Water,Physical education,8,10,3,Yes - broadband connection,In person,5,52,70,1,9,4,14,0,25,20,90,21,2,2,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Coach or club leader,International aid,high
USA,OR,2015,12,Male,17,Right-Handed,174,26,180,1,Car,8,0.306,52,Baseball/Softball,1,3,2,2,8,8,25,Right foot,8,7,Index finger,October,Winter,No,No,Desserts,Soft drink (caffeinated),Mathematics and statistics,9,7,4,Yes - other,Text messaging,75,85,15,0.1,8,3,20,8,10,3,1,15,0,2,Some,Graduate degree,Rap/Hip hop,Super strength,Rich,Sports person,Religious,high
USA,OR,2015,12,Male,16,Left-Handed,170,26,163,1,Car,7,0.353,38,Football (American),600,400,500,600,300,900,26,Same length,92,85,Index finger,June,Summer,No,No,Poultry,Milk,Physical education,7,8,4,Yes - other,Cell phone,130,100,10,1,10,6,20,1,10,8,9,12,6,2,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,Health,high
USA,OR,2019,10,Male,16,Right-Handed,171,26,168,1,Car,5,6.4,44,Running/Jogging,877,799,666,789,1000,1000,26,Same length,7,8,Index finger,January,Winter,Yes,No,Pizza/Pasta,Water,Science,6,9,4,No internet connection,Internet chat or instant messaging,20,20,14,0.4,10,1,14,10,10,10,30,10,6,2,A lot,Graduate degree,Rock and roll,Freeze time,Rich,Friend,Education/Youth development,high
USA,OR,2017,12,Male,18,Right-Handed,180,25,178,1,Car,3,0.38,41,Running/Jogging,1000,800,1000,900,450,450,25,Same length,960,1050,Ring finger,October,Summer,No,No,Other,Water,Science,5,12,6,Yes - broadband connection,In person,50,50,10,0,5,0,12,15,6,20,10,10,0,2,A lot,Undergraduate degree,Other,Fly,Rich,Other,Environment,high
